id,title,type,release_year,age_certification,genres,imdb_score,tmdb_score,stream
ts22193,The Magic School Bus,SHOW,1994,TV-Y,"['animation', 'scifi', 'comedy', 'family', 'fantasy']",7.8,7.8,1
ts22489,Goosebumps,SHOW,1995,TV-PG,"['scifi', 'thriller', 'family', 'fantasy', 'horror', 'music']",7.6,7.9,1
ts21034,InuYasha,SHOW,2000,TV-14,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",7.9,8.6,1
tm121879,A River Runs Through It,MOVIE,1992,PG,['drama'],7.2,7.1,1
tm44402,"Girl, Interrupted",MOVIE,1999,R,"['drama', 'european']",7.3,7.6,1
tm187187,Last Action Hero,MOVIE,1993,PG-13,"['action', 'fantasy', 'comedy', 'family']",6.4,6.379,1
ts16919,All That,SHOW,1994,TV-G,"['comedy', 'family', 'music']",7.5,8.4,1
tm6859,My Girl,MOVIE,1991,PG,"['drama', 'family', 'romance', 'comedy', 'european']",6.9,7.4,1
tm118238,Wyatt Earp,MOVIE,1994,PG-13,"['western', 'crime', 'action', 'drama']",6.7,6.751,1
tm111163,Eraser,MOVIE,1996,R,"['thriller', 'action', 'drama', 'crime']",6.1,6.0,1
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,,"['action', 'drama', 'animation', 'scifi', 'fantasy']",8.0,8.4,1
tm192769,Vegas Vacation,MOVIE,1997,PG,['comedy'],5.9,6.1,1
tm187791,In the Line of Fire,MOVIE,1993,R,"['drama', 'thriller', 'crime', 'action']",7.2,6.973,1
tm113576,Little Women,MOVIE,1994,PG,"['drama', 'romance', 'family']",7.3,7.314,1
tm65686,U.S. Marshals,MOVIE,1998,PG-13,"['thriller', 'crime', 'action']",6.5,6.5,1
ts8570,Barney & Friends,SHOW,1992,TV-G,"['comedy', 'family']",3.8,4.9,1
tm191387,Anaconda,MOVIE,1997,PG-13,"['horror', 'thriller', 'action']",4.8,5.1,1
ts27693,Kenan & Kel,SHOW,1996,TV-Y7,"['family', 'comedy']",7.8,8.3,1
tm19494,The Replacements,MOVIE,2000,PG-13,"['comedy', 'sport']",6.6,6.6,1
tm191772,Seven Years in Tibet,MOVIE,1997,PG-13,"['action', 'drama', 'history', 'war']",7.1,7.2,1
tm12499,The Net,MOVIE,1995,PG-13,"['thriller', 'action', 'crime', 'drama']",5.9,6.0,1
tm186589,Cliffhanger,MOVIE,1993,R,"['action', 'thriller', 'comedy', 'animation']",6.5,6.5,1
tm189764,Menace II Society,MOVIE,1993,R,"['drama', 'crime', 'thriller']",7.5,7.542,1
tm10739,Johnny Mnemonic,MOVIE,1995,R,"['action', 'drama', 'scifi', 'thriller']",5.6,5.7,1
tm1822,3 Ninjas Kick Back,MOVIE,1994,PG,"['comedy', 'family', 'action', 'sport']",4.5,5.5,1
tm55369,Edge of Seventeen,MOVIE,1998,R,"['romance', 'drama', 'comedy']",6.8,6.5,1
ts251477,My First Errand,SHOW,1991,TV-G,"['documentation', 'family', 'reality']",,7.8,1
tm192431,The Devil's Own,MOVIE,1997,R,"['crime', 'thriller', 'drama', 'action', 'european']",6.2,6.1,1
ts22286,Cardcaptor Sakura,SHOW,1998,TV-Y7,"['scifi', 'animation', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance']",8.0,8.7,1
tm192199,Spawn,MOVIE,1997,PG-13,"['scifi', 'action', 'drama', 'horror']",5.2,5.343,1
