sa_id,p_id,sa_netflix,sa_hulu,sa_primevid,sa_disney
383,tm97544,1,0,0,0
384,ts31593,1,0,0,0
385,ts27459,1,0,0,0
386,ts3666,1,0,0,0
387,tm53999,1,0,0,0
388,tm164557,1,0,0,0
389,tm80059,1,0,0,0
390,tm135451,1,0,0,0
391,tm71558,1,0,0,0
392,tm134235,1,0,0,0
393,tm160800,1,0,0,0
394,tm22342,1,0,0,0
395,ts42914,1,0,0,0
396,tm22636,1,0,0,0
397,ts21967,1,0,0,0
398,tm85549,1,0,0,0
399,tm100688,1,0,0,0
400,tm22493,1,0,0,0
401,ts14102,1,0,0,0
402,tm103732,1,0,0,0
403,tm73058,1,0,0,0
404,tm138497,1,0,0,0
405,ts20358,1,0,0,0
406,tm36475,1,0,0,0
407,tm144345,1,0,0,0
408,tm76835,1,0,0,0
409,tm38896,1,0,0,0
410,tm86051,1,0,0,0
411,ts74931,1,0,0,0
412,tm29269,1,0,0,0
413,ts17028,1,0,0,0
414,tm91046,1,0,0,0
415,tm75022,1,0,0,0
416,tm41508,1,0,0,0
417,ts67595,1,0,0,0
418,tm49405,1,0,0,0
419,tm82765,1,0,0,0
420,tm33981,1,0,0,0
421,ts52849,1,0,0,0
422,tm95238,1,0,0,0
423,tm32885,1,0,0,0
424,ts72322,1,0,0,0
425,ts63295,1,0,0,0
426,ts23319,1,0,0,0
427,ts21695,1,0,0,0
428,tm72587,1,0,0,0
429,tm99776,1,0,0,0
430,tm83175,1,0,0,0
431,tm139349,1,0,0,0
432,tm59880,1,0,0,0
433,ts56589,1,0,0,0
434,tm61056,1,0,0,0
435,tm129763,1,0,0,0
436,ts21664,1,0,0,0
437,tm44378,1,0,0,0
438,tm25842,1,0,0,0
439,tm34846,1,0,0,0
440,tm71119,1,0,0,0
441,tm170873,1,0,0,0
442,tm22540,1,0,0,0
443,tm96037,1,0,0,0
444,tm110923,1,0,0,0
445,tm168869,1,0,0,0
446,ts37200,1,0,0,0
447,tm147686,1,0,0,0
448,tm93612,1,0,0,0
449,tm36164,1,0,0,0
450,tm30170,1,0,0,0
451,tm29731,1,0,0,0
452,tm147494,1,0,0,0
453,tm44530,1,0,0,0
454,tm89936,1,0,0,0
455,ts98353,1,0,0,0
456,ts44663,1,0,0,0
457,tm81461,1,0,0,0
458,tm155761,1,0,0,0
459,tm48083,1,0,0,0
460,tm84348,1,0,0,0
461,tm175687,1,0,0,0
462,tm33067,1,0,0,0
463,tm70222,1,0,0,0
464,tm105278,1,0,0,0
465,tm352243,1,0,0,0
466,ts98316,1,0,0,0
467,tm82718,1,0,0,0
468,tm98975,1,0,0,0
469,ts98252,1,0,0,0
470,tm101609,1,0,0,0
471,tm418157,1,0,0,0
472,tm39557,1,0,0,0
473,tm150521,1,0,0,0
474,tm30289,1,0,0,0
475,tm141117,1,0,0,0
476,tm80339,1,0,0,0
477,tm33729,1,0,0,0
478,tm93004,1,0,0,0
479,ts13411,1,0,0,0
480,ts1464,1,0,0,0
481,tm145243,1,0,0,0
482,tm34524,1,0,0,0
483,tm111226,1,0,0,0
484,tm23441,1,0,0,0
485,tm166293,1,0,0,0
486,tm24576,1,0,0,0
487,tm92977,1,0,0,0
488,tm77348,1,0,0,0
489,ts34414,1,0,0,0
490,ts29199,1,0,0,0
491,tm91323,1,0,0,0
492,tm88366,1,0,0,0
493,tm156575,1,0,0,0
494,tm164389,1,0,0,0
495,tm37945,1,0,0,0
496,tm106625,1,0,0,0
497,tm65142,1,0,0,0
498,tm99450,1,0,0,0
499,tm149209,1,0,0,0
500,tm23977,1,0,0,0
501,tm160596,1,0,0,0
502,tm129971,1,0,0,0
503,tm56428,1,0,0,0
504,ts18653,1,0,0,0
505,tm177687,1,0,0,0
506,tm77863,1,0,0,0
507,tm80455,1,0,0,0
508,tm184732,1,0,0,0
509,tm89764,1,0,0,0
510,ts4866,1,0,0,0
511,tm134407,1,0,0,0
512,tm103133,1,0,0,0
513,tm54147,1,0,0,0
514,ts137477,1,0,0,0
515,ts19384,1,0,0,0
516,tm101684,1,0,0,0
517,tm152724,1,0,0,0
518,ts204466,1,0,0,0
519,tm96168,1,0,0,0
520,tm146887,1,0,0,0
521,tm138902,1,0,0,0
522,tm165809,1,0,0,0
523,tm31335,1,0,0,0
524,tm43179,1,0,0,0
525,tm170169,1,0,0,0
526,tm84316,1,0,0,0
527,tm112235,1,0,0,0
528,tm368679,1,0,0,0
529,ts74928,1,0,0,0
530,tm148041,1,0,0,0
531,tm176297,1,0,0,0
532,tm68191,1,0,0,0
533,tm352863,1,0,0,0
534,tm25029,1,0,0,0
535,ts40702,1,0,0,0
536,tm237621,1,0,0,0
537,tm22989,1,0,0,0
538,tm35652,1,0,0,0
539,tm80487,1,0,0,0
540,tm44634,1,0,0,0
541,tm22558,1,0,0,0
542,tm52352,1,0,0,0
543,tm104349,1,0,0,0
544,tm85243,1,0,0,0
545,tm36636,1,0,0,0
546,tm226362,1,0,0,0
547,tm145690,1,0,0,0
548,tm31564,1,0,0,0
549,tm41953,1,0,0,0
550,tm98475,1,0,0,0
551,tm95434,1,0,0,0
552,ts44053,1,0,0,0
553,tm96595,1,0,0,0
554,tm87909,1,0,0,0
555,ts4924,1,0,0,0
556,ts178360,1,0,0,0
557,ts56595,1,0,0,0
558,tm154802,1,0,0,0
559,tm51493,1,0,0,0
560,tm97982,1,0,0,0
561,tm52176,1,0,0,0
562,tm102848,1,0,0,0
563,tm114504,1,0,0,0
