592,ts8614,6.7,
593,tm100106,6.7,6.4
594,ts188031,5.8,10.0
595,tm85689,5.1,5.5
596,ts25707,,9.0
597,tm38454,7.4,6.9
598,tm57586,3.4,3.2
599,ts23797,7.6,8.9
600,tm76029,7.0,6.4
601,tm42831,5.3,5.4
602,ts70843,6.7,5.8
603,tm216753,8.0,7.4
604,tm168751,6.3,5.3
605,tm101540,7.2,5.3
606,tm142153,5.5,6.3
607,tm92671,5.7,6.3
608,tm88343,6.4,6.6
609,ts23353,,
610,tm628693,6.5,6.2
611,tm155774,6.2,6.7
612,tm46867,4.8,6.3
613,tm95507,4.8,5.3
614,tm75544,5.0,5.3
615,tm144263,5.2,5.0
616,tm21155,6.7,5.5
617,tm85369,4.3,5.0
618,ts126804,6.8,
619,tm341561,,6.5
620,tm140653,5.6,5.1
621,tm311516,5.5,7.2
622,ts29581,8.0,
623,tm152413,7.4,4.8
624,ts82583,,
625,tm130999,5.6,4.5
626,tm28024,6.5,7.3
627,tm1077037,,
628,tm85563,6.4,5.7
629,ts124246,4.3,
630,tm254745,8.2,
631,tm76399,6.4,5.2
632,ts86241,,
633,tm481594,7.6,
634,ts82592,,
635,tm639940,6.3,
636,tm404676,,5.8
637,tm89054,,
638,tm252951,6.1,7.0
639,tm87672,7.6,7.0
640,ts20660,8.6,8.112
641,tm68272,6.6,6.8
642,tm61801,7.4,7.0
643,tm44730,6.9,6.7
644,ts21095,7.8,8.3
645,tm39888,8.4,7.768
646,tm166978,7.4,7.0
647,ts20564,7.7,7.3
648,ts8175,8.5,7.4
649,ts278,8.8,8.3
650,tm170442,7.1,6.8
651,tm41792,8.4,8.15
652,ts21580,8.3,7.8
653,ts32835,9.0,8.8
654,ts21599,7.4,7.9
655,tm32982,7.5,7.3
656,tm60292,7.7,7.3
657,ts27680,8.3,7.3
658,ts20433,8.4,8.8
659,tm171885,7.2,6.9
660,tm158304,6.8,6.6
661,ts17598,7.5,6.7
662,ts20458,7.3,7.8
663,ts20429,7.6,8.284
664,ts20457,8.4,8.307
665,tm178201,7.4,7.1
666,tm36237,6.4,6.3
667,tm40319,6.4,6.4
668,ts6506,7.9,7.6
669,ts9794,8.0,7.1
670,ts33338,8.4,7.4
671,tm39896,6.2,6.0
672,tm74848,6.2,5.967
673,ts27468,6.4,8.2
674,ts20500,7.9,7.4
675,tm168921,5.4,5.8
676,tm160132,7.0,7.1
677,tm49592,4.3,6.1
678,tm167232,6.8,6.7
679,tm38980,7.2,7.4
680,ts20556,4.5,6.6
681,tm69926,6.4,6.2
682,tm60844,7.5,7.4
683,ts9246,7.5,8.1
684,ts27835,7.5,9.0
685,ts20648,,7.3
686,ts18551,5.9,6.9
687,tm62210,7.4,7.591
688,tm106278,6.4,6.1
689,tm182586,8.0,8.1
690,ts36647,8.1,7.7
691,ts81858,7.1,7.4
692,ts34740,6.9,8.3
693,tm176507,,6.3
694,ts21081,8.4,7.6
695,ts27586,7.8,8.6
696,ts19779,7.4,7.4
697,ts22249,8.3,8.7
698,tm178395,,5.1
699,tm173195,6.0,6.1
700,tm69386,6.8,6.5
701,tm174683,7.1,6.7
702,tm72845,8.2,8.1
703,ts34921,6.2,6.5
704,tm170758,5.4,5.7
705,tm174256,5.4,6.0
706,tm56296,7.1,6.8
707,tm160371,6.2,6.0
708,tm183547,5.8,5.7
709,ts34737,8.0,7.693
710,tm59590,7.8,7.5
711,ts34151,7.3,7.1
712,tm161904,7.4,7.2
713,tm44165,6.2,7.0
714,tm53034,8.0,7.8
715,ts32460,7.1,1.0
716,ts26776,6.2,7.6
717,tm164353,6.8,6.7
718,ts39093,6.8,6.9
719,ts33349,6.0,7.7
720,tm38064,7.7,7.5
721,tm182125,8.1,7.6
722,ts55532,7.6,5.0
723,tm57436,7.7,
724,tm72251,,7.4
725,tm53625,,7.8
726,ts191698,6.4,10.0
727,ts45996,7.4,8.1
728,tm160361,6.3,7.1
729,tm34331,6.5,6.7
730,tm183039,7.4,6.8
731,ts35426,5.0,5.8
