p_pictureid,p_name,p_type,p_releasedate,p_agerating,p_genre
tm1822,3 Ninjas Kick Back,MOVIE,1994,PG,"comedy, family, action, sport"
tm55369,Edge of Seventeen,MOVIE,1998,R,"romance, drama, comedy"
ts251477,My First Errand,SHOW,1991,TV-G,"documentation, family, reality"
tm192431,The Devil's Own,MOVIE,1997,R,"crime, thriller, drama, action, european"
ts22286,Cardcaptor Sakura,SHOW,1998,TV-Y7,"scifi, animation, action, comedy, drama, family, fantasy, romance"
tm192199,Spawn,MOVIE,1997,PG-13,"scifi, action, drama, horror"
ts11397,Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,"scifi, animation, action, comedy, family, fantasy, western"
tm56033,Croupier,MOVIE,1998,R,"drama, european, crime"
ts21581,Girlfriends,SHOW,2000,TV-PG,"drama, comedy"
tm117488,The Next Karate Kid,MOVIE,1994,PG,"action, drama, family, sport, romance"
tm190811,Geronimo: An American Legend,MOVIE,1993,PG-13,"western, history, drama"
tm191431,Double Team,MOVIE,1997,R,"action, scifi, comedy, thriller"
tm10811,Heavy,MOVIE,1995,R,"drama, romance"
tm49839,The Players Club,MOVIE,1998,R,"comedy, drama"
ts20918,The Parkers,SHOW,1999,TV-PG,comedy
ts21693,"Sister, Sister",SHOW,1994,TV-PG,"comedy, drama, family"
ts20939,Moesha,SHOW,1996,TV-PG,"drama, comedy, family"
ts21684,Heartbreak High,SHOW,1994,TV-MA,"drama, romance, comedy"
ts22080,Oggy and the Cockroaches,SHOW,1999,TV-Y7,"animation, comedy, family, action, european"
tm67635,Kuch Kuch Hota Hai,MOVIE,1998,G,"romance, comedy, drama"
tm320211,Children of God,MOVIE,1994,,documentation
tm7073,Knight Rider 2000,MOVIE,1991,G,"action, scifi"
ts28516,Okupas,SHOW,2000,TV-MA,"drama, crime"
tm117873,Hum Aapke Hain Koun..!,MOVIE,1994,,"drama, romance, comedy"
tm55100,Dil Se..,MOVIE,1998,PG-13,"drama, romance"
tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,G,"comedy, documentation"
ts22039,H,SHOW,1998,TV-MA,comedy
tm188606,Sankofa,MOVIE,1993,,"drama, european"
tm41525,Herod's Law,MOVIE,1999,R,"comedy, crime, thriller"
tm189171,Wild Tango,MOVIE,1993,R,"drama, music, romance"
tm63514,The Last Days,MOVIE,1998,PG-13,"drama, history, war, documentation"
tm21911,Sam Kinison: Live in Vegas,MOVIE,1991,,"comedy, music, documentation"
tm188970,Bill Hicks: Revelations,MOVIE,1993,,"comedy, documentation"
tm12876,Bombay,MOVIE,1995,,"drama, romance"
ts224786,Escalona,SHOW,1991,TV-MA,drama
tm62176,Mann,MOVIE,1999,,"drama, romance"
tm52871,Soldier,MOVIE,1998,,"thriller, action, drama, romance"
tm8687,Sam Kinison: Family Entertainment Hour,MOVIE,1991,,comedy
tm104933,Sinbad: Son of a Preacher Man,MOVIE,1996,,"comedy, documentation"
tm184326,Damini,MOVIE,1993,,"drama, crime"
tm62385,Hum Saath Saath Hain,MOVIE,1999,G,"romance, family, fantasy, drama"
tm191614,Destiny,MOVIE,1997,,"drama, history, comedy, romance"
tm110766,Chronicle of a Disappearance,MOVIE,1996,,drama
tm9898,Muthu,MOVIE,1995,G,"comedy, drama, action, romance"
tm47530,Jeans,MOVIE,1998,,"comedy, drama, romance"
tm57169,Monty Python: Live at Aspen,MOVIE,1998,,"comedy, documentation"
tm192301,Minsara Kanavu,MOVIE,1997,G,"comedy, romance, drama"
tm58893,Duplicate,MOVIE,1998,PG,"comedy, action, crime, thriller"
tm110160,Avvai Shanmugi,MOVIE,1996,PG-13,"drama, comedy"
tm118438,Anjaam,MOVIE,1994,,"romance, crime, thriller, drama"
tm424630,A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,,"drama, sport"
tm27601,Phir Bhi Dil Hai Hindustani,MOVIE,2000,PG-13,"comedy, romance, drama"
tm203186,Children of Shatila,MOVIE,1999,,"documentation, history"
tm128073,Bill Hicks: Relentless,MOVIE,1992,,comedy
